,업종,항목,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,근해문어단지어업,비용,177286.504,175168.30346300002,199477.2,202946.8,199782.8916666667,170316.42857142858,184249.0,153203.56100000002,189834.51400000002,191867.4,231698.7615075822
1,근해문어단지어업,수익,250404.66666666666,240771.85714285713,307200.0,332501.625,301669.5,278915.7792857143,276981.3757142857,296425.8,694563.5,321675.6,318909.77777777775
2,근해문어단지어업,이익,73710.97049333336,65603.55367985714,107722.8,129554.82500000001,101886.60833333334,108599.35071428573,92732.37571428574,143222.239,504728.9859999999,129808.2,87211.01627019556
3,근해봉수망어업,비용,189253.5,,,,,,,,,,164702.0
4,근해봉수망어업,수익,224500.0,,,,,,,,,,189949.0
5,근해봉수망어업,이익,35699.59,,,,,,,,,,25247.0
6,근해안강망어업,비용,979182.2838181818,869379.7215497204,860103.7975598577,809053.74397,747868.89098,815656.8755114155,787984.9248907986,848607.3051545455,804172.9114376623,843026.4169766639,896215.4502385341
7,근해안강망어업,수익,1065863.4696969697,951792.623655914,1042772.21,1051387.25,1007977.84,1166861.8219178081,1098254.0232499999,1107877.0155844155,1216124.2857142857,1195174.0387532467,1266719.0972222222
8,근해안강망어업,이익,88961.77073454554,82412.90210619355,249208.43244014226,302972.74603,317493.32902,397163.8505159817,338578.15391475696,259269.71042987012,411951.37427662336,352147.62177658285,353151.3305833837
9,근해연승어업,비용,461167.8893472222,848320.8922216494,898076.3441354167,788903.88764,774321.5785584098,972816.066888172,1086264.2058542552,807799.8257496529,1122381.5658243764,884321.5568561741,1406030.7984191428
10,근해연승어업,수익,532453.0625,967246.1340206185,1041362.2916666666,1020404.51,1008970.0036697248,1339231.9107526883,1234103.8653191489,1082582.4998901098,1404875.6032258065,1372415.3419318183,1570354.5068965517
11,근해연승어업,이익,72138.88123,118925.24179896909,144249.39544791667,233324.25235999998,264923.65446911316,370516.81160645164,152197.67010319149,279395.94886573177,289326.77933691395,488093.785075644,173078.47859235128
12,근해자리돔들망어업,비용,,,177990.33333333334,136567.66666666666,155656.66666666666,119141.5,,,,,231387.5
13,근해자리돔들망어업,수익,,,235171.66666666666,158633.66666666666,192758.33333333334,165844.5,,,,,300350.0
14,근해자리돔들망어업,이익,,,57181.333333333336,27066.0,47101.666666666664,46703.0,,,,,68962.5
15,근해자망어업,비용,822684.0766065574,891011.4746377281,813104.9657904019,795535.968484375,704340.2365243055,778747.2110058366,774899.5663339553,744159.4198876033,839193.838939086,897476.3312726974,1013670.6408942711
16,근해자망어업,수익,905170.0546448088,1023775.3033333333,936125.2980851064,1102783.21875,1004241.2181597222,1359600.4234766199,1159397.6790149254,1129024.0596115703,1491353.0433699633,1315400.0532520327,1464131.5588526435
17,근해자망어업,이익,84139.01396229502,132763.82869560533,144896.3252025059,324716.812765625,300414.87052430556,581101.1463550809,385366.9708899254,385118.5984016529,652489.4608411338,417923.72197933507,450765.1699268762
18,근해장어통발어업,비용,1352313.2434375,1151450.775177087,1320395.0,1283358.9997777778,1130039.3968,1396238.2952958823,1432575.8496470586,1535614.8917424243,1334698.9823504274,1549686.846282857,1874699.4981486986
19,근해장어통발어업,수익,1480941.71875,1246186.8695652173,1591250.0,1735738.6666666667,1668419.715,1972441.1176470588,1977993.7647058824,2183695.1863636365,1889316.4864864864,1924472.575714286,2176763.8858974357
20,근해장어통발어업,이익,131665.5705406249,94736.09438813044,270855.0,452379.66688888887,539580.3182,576343.9988217647,545417.9150588235,648080.2946212122,457729.4791880342,374785.7294314286,148636.01494653965
21,근해채낚기어업,비용,401575.2022159624,437926.83840112214,476576.42275894043,471243.9509545454,451026.40840148926,458514.81330937345,479809.8416906522,488578.95547983464,537210.3008272132,586042.0712516985,598882.8151869565
22,근해채낚기어업,수익,480757.9671361502,492446.76259541983,540234.105178808,599681.5324675324,535401.463117647,584106.3493181819,583036.7793115942,552426.6954731012,721067.3118200616,702446.9780254777,583744.0913043479
23,근해채낚기어업,이익,79834.3383264789,54519.92419429771,68927.89434039734,145894.54255194805,86223.87170962185,121335.09729213032,103869.48834557971,64416.64505655777,184321.08552700985,116404.90677377919,-15138.723882608687
24,근해통발어업,비용,813011.4534648649,861990.6052900888,990156.9545733333,812612.0276962025,927429.3524133333,965122.7679244792,1068029.9486962366,1062925.0075682292,1052123.7400534824,1085646.9590421717,1414467.741154493
